,NSC #1,Drug name,FDA status,Mechanism of action,NSC #2,Drug name.1,FDA status.1,Mechanism of action.1
34,740.0,METHOTREXATE,FDA approved,Df|DHFR,719276.0,Fulvestrant,FDA approved,AM|Ho|ESR|SERM
35,740.0,METHOTREXATE,FDA approved,Df|DHFR,719344.0,Anastrozole,FDA approved,Ho|CYP19A1
36,740.0,METHOTREXATE,FDA approved,Df|DHFR,719345.0,Letrozole,FDA approved,Ho|CYP19A1
37,740.0,METHOTREXATE,FDA approved,Df|DHFR,721517.0,Zoledronate,FDA approved,AM|NonCan:Anti-bone resorp
38,740.0,METHOTREXATE,FDA approved,Df|DHFR,732517.0,Dasatinib,FDA approved,"BCR-ABL|PK:YK,PDGFR,KIT"
39,740.0,METHOTREXATE,FDA approved,Df|DHFR,733504.0,Everolimus,FDA approved,"PK:STK,MTOR"
40,740.0,METHOTREXATE,FDA approved,Df|DHFR,737754.0,Pazopanib,FDA approved,"PK:YK,PDGFR,FGFR,KIT,VEGFR"
41,740.0,METHOTREXATE,FDA approved,Df|DHFR,745750.0,Lapatinib,FDA approved,"PK:STK,YK,MET,EGFR,ERBB2,KIT,RAF,VEGFR"
42,740.0,METHOTREXATE,FDA approved,Df|DHFR,747971.0,Sorafenib,FDA approved,"PK:YK,PDGFR,BRAF,KIT,VEGFR,Multikinase"
43,740.0,METHOTREXATE,FDA approved,Df|DHFR,747972.0,Lenalidomide,FDA approved,FT|Immunomodulatory
44,740.0,METHOTREXATE,FDA approved,Df|DHFR,747974.0,Raloxifene,FDA approved,Ho|SERM
45,740.0,METHOTREXATE,FDA approved,Df|DHFR,749226.0,Abiraterone,FDA approved,Ho|CYP17A1
46,740.0,METHOTREXATE,FDA approved,Df|DHFR,750690.0,Sunitinib,FDA approved,"PK:YK,PDGFR,KIT,VEGFR,Multikinase"
47,740.0,METHOTREXATE,FDA approved,Df|DHFR,753082.0,Vemurafenib,FDA approved,"PK:YK,BRAF"
48,740.0,METHOTREXATE,FDA approved,Df|DHFR,754143.0,Depsipeptide,FDA approved,HDAC
49,740.0,METHOTREXATE,FDA approved,Df|DHFR,754230.0,pralatrexate,FDA approved,Df|CTNNB1|DHFR
50,740.0,METHOTREXATE,FDA approved,Df|DHFR,755986.0,Vismodegib,FDA approved,SMO|PK:YK
51,740.0,METHOTREXATE,FDA approved,Df|DHFR,756645.0,Crizotinib,FDA approved,"PK:YK,MET,ALK"
52,740.0,METHOTREXATE,FDA approved,Df|DHFR,757441.0,Axitinib,FDA approved,"PK:YK,PDGFR,VEGFR"
53,740.0,METHOTREXATE,FDA approved,Df|DHFR,760766.0,Vandetanib,FDA approved,"PK:STK,YK,PDGFR,EGFR,VEGFR,RET"
54,740.0,METHOTREXATE,FDA approved,Df|DHFR,761432.0,Cabazitaxel,FDA approved,TUBB|Tu-stab
55,740.0,METHOTREXATE,FDA approved,Df|DHFR,763371.0,Ruxolitinib,FDA approved,"PK:YK,JAK,JAK1,JAK2"
56,750.0,Busulfan,FDA approved,A7|AlkAg,740.0,METHOTREXATE,FDA approved,Df|DHFR
57,750.0,Busulfan,FDA approved,A7|AlkAg,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH
58,750.0,Busulfan,FDA approved,A7|AlkAg,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT
59,750.0,Busulfan,FDA approved,A7|AlkAg,762.0,Nitrogen mustard,FDA approved,A7|AlkAg
60,750.0,Busulfan,FDA approved,A7|AlkAg,3053.0,Actinomycin D,FDA approved,Db
61,750.0,Busulfan,FDA approved,A7|AlkAg,3088.0,Chlorambucil,FDA approved,A7|AlkAg
62,750.0,Busulfan,FDA approved,A7|AlkAg,6396.0,Thiotepa,FDA approved,A7|AlkAg
63,750.0,Busulfan,FDA approved,A7|AlkAg,8806.0,Melphalan,FDA approved,A7|AlkAg
64,750.0,Busulfan,FDA approved,A7|AlkAg,9706.0,Triethylenemelamine,FDA approved,A7|AlkAg
65,750.0,Busulfan,FDA approved,A7|AlkAg,13875.0,Altretamine,FDA approved,Db|AlkAg
66,750.0,Busulfan,FDA approved,A7|AlkAg,18509.0,Aminolevulinic acid,FDA approved,AM
67,750.0,Busulfan,FDA approved,A7|AlkAg,19893.0,Fluorouracil,FDA approved,Ds|Rs|TYMS
68,750.0,Busulfan,FDA approved,A7|AlkAg,24559.0,Mithramycin,FDA approved,Db|Rs
69,750.0,Busulfan,FDA approved,A7|AlkAg,25154.0,Pipobroman,FDA approved,A7|AlkAg
70,750.0,Busulfan,FDA approved,A7|AlkAg,27640.0,Floxuridine,FDA approved,Ds|TYMS
71,750.0,Busulfan,FDA approved,A7|AlkAg,32065.0,Hydroxyurea,FDA approved,AM|Dr
72,750.0,Busulfan,FDA approved,A7|AlkAg,34462.0,Uracil mustard,FDA approved,A7|AlkAg
73,750.0,Busulfan,FDA approved,A7|AlkAg,38721.0,Mitotane,FDA approved,A7|Ho|AlkAg|anti-Ho|CYP11A1
74,750.0,Busulfan,FDA approved,A7|AlkAg,45388.0,DACARBAZINE,FDA approved,A7|AlkAg
75,750.0,Busulfan,FDA approved,A7|AlkAg,49842.0,Vinblastine,FDA approved,TUBB|Tu-frag
76,750.0,Busulfan,FDA approved,A7|AlkAg,63878.0,Cytarabine,FDA approved,Ds
77,750.0,Busulfan,FDA approved,A7|AlkAg,67574.0,Vincristine,FDA approved,TUBB|Tu-frag
78,750.0,Busulfan,FDA approved,A7|AlkAg,71423.0,Megestrol acetate,FDA approved,Ho|PGR
79,750.0,Busulfan,FDA approved,A7|AlkAg,79037.0,Lomustine,FDA approved,A6|AlkAg
80,750.0,Busulfan,FDA approved,A7|AlkAg,82151.0,Daunorubicin,FDA approved,TOP2
81,750.0,Busulfan,FDA approved,A7|AlkAg,102816.0,AZACITIDINE,FDA approved,DNMT
82,750.0,Busulfan,FDA approved,A7|AlkAg,105014.0,Cladribine,FDA approved,Ds|ADA
83,750.0,Busulfan,FDA approved,A7|AlkAg,118218.0,Fludarabine,FDA approved,Ds|AM|Dr|STAT1
84,750.0,Busulfan,FDA approved,A7|AlkAg,122758.0,Isotretinoin,FDA approved,Ho|RXR|Differentiator
85,750.0,Busulfan,FDA approved,A7|AlkAg,122819.0,Teniposide,FDA approved,TOP2
86,750.0,Busulfan,FDA approved,A7|AlkAg,123127.0,Doxorubicin,FDA approved,TOP2
87,750.0,Busulfan,FDA approved,A7|AlkAg,125066.0,Bleomycin,FDA approved,Db
88,750.0,Busulfan,FDA approved,A7|AlkAg,125973.0,Paclitaxel,FDA approved,TUBB|Tu-stab
89,750.0,Busulfan,FDA approved,A7|AlkAg,138783.0,Bendamustine,FDA approved,A2|A6|AlkAg
90,750.0,Busulfan,FDA approved,A7|AlkAg,141540.0,Etoposide,FDA approved,TOP2
91,750.0,Busulfan,FDA approved,A7|AlkAg,169780.0,Dexrazoxane,FDA approved,TOP2|NonCan:Cardioprotective
92,750.0,Busulfan,FDA approved,A7|AlkAg,180973.0,Tamoxifen,FDA approved,Ho|SERM
93,750.0,Busulfan,FDA approved,A7|AlkAg,226080.0,RAPAMYCIN,FDA approved,"PK:STK,MTOR"
94,750.0,Busulfan,FDA approved,A7|AlkAg,241240.0,Carboplatin,FDA approved,A7|AlkAg
95,750.0,Busulfan,FDA approved,A7|AlkAg,246131.0,Valrubicin,FDA approved,TOP2
96,750.0,Busulfan,FDA approved,A7|AlkAg,279836.0,MITOXANTRONE,FDA approved,TOP2
97,750.0,Busulfan,FDA approved,A7|AlkAg,362856.0,Temozolomide,FDA approved,A7|AlkAg
98,750.0,Busulfan,FDA approved,A7|AlkAg,606869.0,Clofarabine,FDA approved,Ds
99,750.0,Busulfan,FDA approved,A7|AlkAg,608210.0,Vinorelbine,FDA approved,TUBB|Tu-frag
100,750.0,Busulfan,FDA approved,A7|AlkAg,613327.0,Gemcitabine,FDA approved,Ds
101,750.0,Busulfan,FDA approved,A7|AlkAg,628503.0,Docetaxel,FDA approved,TUBB|Tu-stab
102,750.0,Busulfan,FDA approved,A7|AlkAg,673596.0,7-Ethyl-10-hydroxycamptothecin,FDA approved,TOP1
103,750.0,Busulfan,FDA approved,A7|AlkAg,686673.0,Nelarabine,FDA approved,Ds
104,750.0,Busulfan,FDA approved,A7|AlkAg,698037.0,Pemetrexed,FDA approved,Df|AM|GARTF|DHFR|TYMS
105,750.0,Busulfan,FDA approved,A7|AlkAg,701852.0,Vorinostat,FDA approved,HDAC
106,750.0,Busulfan,FDA approved,A7|AlkAg,712807.0,Capecitabine,FDA approved,Ds|TYMS
107,750.0,Busulfan,FDA approved,A7|AlkAg,713563.0,Exemestane,FDA approved,Ho|CYP19A1
108,750.0,Busulfan,FDA approved,A7|AlkAg,715055.0,Gefitinib,FDA approved,"PK:YK,EGFR"
109,750.0,Busulfan,FDA approved,A7|AlkAg,719276.0,Fulvestrant,FDA approved,AM|Ho|ESR|SERM
110,750.0,Busulfan,FDA approved,A7|AlkAg,719345.0,Letrozole,FDA approved,Ho|CYP19A1
111,750.0,Busulfan,FDA approved,A7|AlkAg,719627.0,Celecoxib,FDA approved,AM|PTGS2|COX2|NonCan:NSAID
112,750.0,Busulfan,FDA approved,A7|AlkAg,721517.0,Zoledronate,FDA approved,AM|NonCan:Anti-bone resorp
113,750.0,Busulfan,FDA approved,A7|AlkAg,732517.0,Dasatinib,FDA approved,"BCR-ABL|PK:YK,PDGFR,KIT"
114,750.0,Busulfan,FDA approved,A7|AlkAg,733504.0,Everolimus,FDA approved,"PK:STK,MTOR"
115,750.0,Busulfan,FDA approved,A7|AlkAg,737754.0,Pazopanib,FDA approved,"PK:YK,PDGFR,FGFR,KIT,VEGFR"
116,750.0,Busulfan,FDA approved,A7|AlkAg,743414.0,Imatinib,FDA approved,BCR-ABL|PK:YK
117,750.0,Busulfan,FDA approved,A7|AlkAg,745750.0,Lapatinib,FDA approved,"PK:STK,YK,MET,EGFR,ERBB2,KIT,RAF,VEGFR"
118,750.0,Busulfan,FDA approved,A7|AlkAg,747599.0,Nilotinib,FDA approved,BCR-ABL|PK:YK
119,750.0,Busulfan,FDA approved,A7|AlkAg,747971.0,Sorafenib,FDA approved,"PK:YK,PDGFR,BRAF,KIT,VEGFR,Multikinase"
120,750.0,Busulfan,FDA approved,A7|AlkAg,747972.0,Lenalidomide,FDA approved,FT|Immunomodulatory
121,750.0,Busulfan,FDA approved,A7|AlkAg,747974.0,Raloxifene,FDA approved,Ho|SERM
122,750.0,Busulfan,FDA approved,A7|AlkAg,749226.0,Abiraterone,FDA approved,Ho|CYP17A1
123,750.0,Busulfan,FDA approved,A7|AlkAg,750690.0,Sunitinib,FDA approved,"PK:YK,PDGFR,KIT,VEGFR,Multikinase"
124,750.0,Busulfan,FDA approved,A7|AlkAg,753082.0,Vemurafenib,FDA approved,"PK:YK,BRAF"
125,750.0,Busulfan,FDA approved,A7|AlkAg,754143.0,Depsipeptide,FDA approved,HDAC
126,750.0,Busulfan,FDA approved,A7|AlkAg,754230.0,pralatrexate,FDA approved,Df|CTNNB1|DHFR
127,750.0,Busulfan,FDA approved,A7|AlkAg,755986.0,Vismodegib,FDA approved,SMO|PK:YK
128,750.0,Busulfan,FDA approved,A7|AlkAg,756645.0,Crizotinib,FDA approved,"PK:YK,MET,ALK"
129,750.0,Busulfan,FDA approved,A7|AlkAg,757441.0,Axitinib,FDA approved,"PK:YK,PDGFR,VEGFR"
130,750.0,Busulfan,FDA approved,A7|AlkAg,760766.0,Vandetanib,FDA approved,"PK:STK,YK,PDGFR,EGFR,VEGFR,RET"
131,750.0,Busulfan,FDA approved,A7|AlkAg,761432.0,Cabazitaxel,FDA approved,TUBB|Tu-stab
132,750.0,Busulfan,FDA approved,A7|AlkAg,763371.0,Ruxolitinib,FDA approved,"PK:YK,JAK,JAK1,JAK2"
133,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,3088.0,Chlorambucil,FDA approved,A7|AlkAg
134,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,8806.0,Melphalan,FDA approved,A7|AlkAg
135,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,9706.0,Triethylenemelamine,FDA approved,A7|AlkAg
136,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,13875.0,Altretamine,FDA approved,Db|AlkAg
137,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,19893.0,Fluorouracil,FDA approved,Ds|Rs|TYMS
138,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,34462.0,Uracil mustard,FDA approved,A7|AlkAg
139,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,45388.0,DACARBAZINE,FDA approved,A7|AlkAg
140,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,71423.0,Megestrol acetate,FDA approved,Ho|PGR
141,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,79037.0,Lomustine,FDA approved,A6|AlkAg
142,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,82151.0,Daunorubicin,FDA approved,TOP2
143,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,122819.0,Teniposide,FDA approved,TOP2
144,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,123127.0,Doxorubicin,FDA approved,TOP2
145,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,141540.0,Etoposide,FDA approved,TOP2
146,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,169780.0,Dexrazoxane,FDA approved,TOP2|NonCan:Cardioprotective
147,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,279836.0,MITOXANTRONE,FDA approved,TOP2
148,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,608210.0,Vinorelbine,FDA approved,TUBB|Tu-frag
149,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,698037.0,Pemetrexed,FDA approved,Df|AM|GARTF|DHFR|TYMS
150,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,713563.0,Exemestane,FDA approved,Ho|CYP19A1
151,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,715055.0,Gefitinib,FDA approved,"PK:YK,EGFR"
152,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,737754.0,Pazopanib,FDA approved,"PK:YK,PDGFR,FGFR,KIT,VEGFR"
153,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,747972.0,Lenalidomide,FDA approved,FT|Immunomodulatory
154,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,747974.0,Raloxifene,FDA approved,Ho|SERM
155,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,749226.0,Abiraterone,FDA approved,Ho|CYP17A1
156,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,753082.0,Vemurafenib,FDA approved,"PK:YK,BRAF"
157,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,755986.0,Vismodegib,FDA approved,SMO|PK:YK
158,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,756645.0,Crizotinib,FDA approved,"PK:YK,MET,ALK"
159,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,757441.0,Axitinib,FDA approved,"PK:YK,PDGFR,VEGFR"
160,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,760766.0,Vandetanib,FDA approved,"PK:STK,YK,PDGFR,EGFR,VEGFR,RET"
161,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,761432.0,Cabazitaxel,FDA approved,TUBB|Tu-stab
162,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,763371.0,Ruxolitinib,FDA approved,"PK:YK,JAK,JAK1,JAK2"
163,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,740.0,METHOTREXATE,FDA approved,Df|DHFR
164,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH
165,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,3053.0,Actinomycin D,FDA approved,Db
166,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,3088.0,Chlorambucil,FDA approved,A7|AlkAg
167,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,6396.0,Thiotepa,FDA approved,A7|AlkAg
168,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,8806.0,Melphalan,FDA approved,A7|AlkAg
169,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,9706.0,Triethylenemelamine,FDA approved,A7|AlkAg
170,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,13875.0,Altretamine,FDA approved,Db|AlkAg
171,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,19893.0,Fluorouracil,FDA approved,Ds|Rs|TYMS
172,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,24559.0,Mithramycin,FDA approved,Db|Rs
173,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,27640.0,Floxuridine,FDA approved,Ds|TYMS
174,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,32065.0,Hydroxyurea,FDA approved,AM|Dr
175,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,34462.0,Uracil mustard,FDA approved,A7|AlkAg
176,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,38721.0,Mitotane,FDA approved,A7|Ho|AlkAg|anti-Ho|CYP11A1
177,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,45388.0,DACARBAZINE,FDA approved,A7|AlkAg
178,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,49842.0,Vinblastine,FDA approved,TUBB|Tu-frag
179,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,63878.0,Cytarabine,FDA approved,Ds
180,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,67574.0,Vincristine,FDA approved,TUBB|Tu-frag
181,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,71423.0,Megestrol acetate,FDA approved,Ho|PGR
182,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,79037.0,Lomustine,FDA approved,A6|AlkAg
183,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,82151.0,Daunorubicin,FDA approved,TOP2
184,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,102816.0,AZACITIDINE,FDA approved,DNMT
185,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,105014.0,Cladribine,FDA approved,Ds|ADA
186,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,118218.0,Fludarabine,FDA approved,Ds|AM|Dr|STAT1
187,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,122758.0,Isotretinoin,FDA approved,Ho|RXR|Differentiator
188,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,122819.0,Teniposide,FDA approved,TOP2
189,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,123127.0,Doxorubicin,FDA approved,TOP2
190,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,125066.0,Bleomycin,FDA approved,Db
191,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,125973.0,Paclitaxel,FDA approved,TUBB|Tu-stab
192,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,138783.0,Bendamustine,FDA approved,A2|A6|AlkAg
193,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,141540.0,Etoposide,FDA approved,TOP2
194,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,169780.0,Dexrazoxane,FDA approved,TOP2|NonCan:Cardioprotective
195,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,180973.0,Tamoxifen,FDA approved,Ho|SERM
196,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,241240.0,Carboplatin,FDA approved,A7|AlkAg
197,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,246131.0,Valrubicin,FDA approved,TOP2
198,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,279836.0,MITOXANTRONE,FDA approved,TOP2
199,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,362856.0,Temozolomide,FDA approved,A7|AlkAg
200,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,608210.0,Vinorelbine,FDA approved,TUBB|Tu-frag
201,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,628503.0,Docetaxel,FDA approved,TUBB|Tu-stab
202,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,673596.0,7-Ethyl-10-hydroxycamptothecin,FDA approved,TOP1
203,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,698037.0,Pemetrexed,FDA approved,Df|AM|GARTF|DHFR|TYMS
204,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,701852.0,Vorinostat,FDA approved,HDAC
205,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,713563.0,Exemestane,FDA approved,Ho|CYP19A1
206,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,715055.0,Gefitinib,FDA approved,"PK:YK,EGFR"
207,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,719276.0,Fulvestrant,FDA approved,AM|Ho|ESR|SERM
208,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,719344.0,Anastrozole,FDA approved,Ho|CYP19A1
209,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,719345.0,Letrozole,FDA approved,Ho|CYP19A1
210,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,719627.0,Celecoxib,FDA approved,AM|PTGS2|COX2|NonCan:NSAID
211,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,721517.0,Zoledronate,FDA approved,AM|NonCan:Anti-bone resorp
212,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,732517.0,Dasatinib,FDA approved,"BCR-ABL|PK:YK,PDGFR,KIT"
213,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,733504.0,Everolimus,FDA approved,"PK:STK,MTOR"
214,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,737754.0,Pazopanib,FDA approved,"PK:YK,PDGFR,FGFR,KIT,VEGFR"
215,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,743414.0,Imatinib,FDA approved,BCR-ABL|PK:YK
216,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,745750.0,Lapatinib,FDA approved,"PK:STK,YK,MET,EGFR,ERBB2,KIT,RAF,VEGFR"
217,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,747971.0,Sorafenib,FDA approved,"PK:YK,PDGFR,BRAF,KIT,VEGFR,Multikinase"
218,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,747972.0,Lenalidomide,FDA approved,FT|Immunomodulatory
219,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,747974.0,Raloxifene,FDA approved,Ho|SERM
220,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,749226.0,Abiraterone,FDA approved,Ho|CYP17A1
221,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,750690.0,Sunitinib,FDA approved,"PK:YK,PDGFR,KIT,VEGFR,Multikinase"
