,NSC,Drug_name,Status,MOA,SID
237,9037.0,"3H-Xanthen-3-one, 2,6,7-trihydroxy-9-(o-hydroxy-phenyl)-",-,-,72722
238,9168.0,fumidil,-,-,-
239,9170.0,thiocolciran,-,-,17649
240,9291.0,naphthol blue (van),-,-,101929
241,9358.0,pada,-,-,81528
242,9403.0,methylene green (van),-,-,-
243,9404.0,safranin bluish,-,-,-
244,9594.0,safranin bluish,-,-,-
245,9598.0,Azur I,-,-,68275
246,9605.0,methylene blue nn,-,-,-
247,9608.0,"1-(naphthalen-2-yl)-9,10-dioxo-9,10-dihydroanthracene-2-...",-,-,222760
248,9609.0,janus red,-,-,-
249,9610.0,janus black,-,-,135436529
250,9612.0,nile blue bb,-,-,20520
251,9665.0,gelcohol,-,-,222778
252,9667.0,"N-Ethyl-N,N-dimethyl-2-[2-(4-octylphenoxy)ethoxy]ethan-1-aminium dodecane-1-sulfonate",-,-,24181516
253,9704.0,lutex,-,-,-
254,9706.0,Triethylenemelamine,FDA approved,A7|AlkAg,5799
255,9768.0,"2,4-Dichloro-6-[(5-chloro-2-hydroxyphenyl)methyl]phenol",-,-,222840
256,9771.0,"2,6-Bis[(3,5-dichloro-2-hydroxyphenyl)methyl]-4-pentan-2-ylphenol",-,-,222841
257,9853.0,orange y,-,-,-
258,9855.0,phenosafranin,-,-,-
259,9856.0,red oil,-,-,445639
260,9858.0,new fuchsin,-,-,-
261,9921.0,pentamide,-,-,4735
262,9936.0,kutizon,-,-,-
263,9951.0,decyltrimethylammonium bromide,-,-,16388
264,10010.0,"N,N-Bis(2-methyl-6-methoxy-4-quinaldyl)-1,9-diamino- non...",-,-,-
265,10018.0,"benzimidazole, 1-dodecyl-2-methyl-, hydrobromide",-,-,-
266,10036.0,"2-(4-Chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-diethylbutane-1,4-diamine",-,-,222938
267,10037.0,"N-(7-Chloroquinolin-4-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine",-,-,222939
268,10438.0,resazoin,-,-,-
269,10460.0,p-Fuchsin,-,-,-
270,10466.0,Basic Fuchsin,-,-,-
271,10483.0,Desoximetasone,-,-,5754
272,10492.0,"2-(4-chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-dieth...",-,-,-
273,10517.0,2m2pm,-,-,-
274,10520.0,2-[(Z)-2-(4-Chlorophenyl)ethenyl]-1-methylquinolin-1-ium iodide,-,-,54598850
275,10526.0,-,-,-,-
276,10534.0,"1,3,3-Trimethyl-2-[(1Z,3E)-4-phenylbuta-1,3-dienyl]indol-1-ium;iodide",-,-,54609031
277,10535.0,-,-,-,-
278,10587.0,"1-Naphthalenemethanol, .alpha.-[2-(dibutylamino)-1,1-dim...",-,-,24181636
279,10594.0,"N-(2,3-Dimethoxy-6-nitroacridin-9-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine;hydrochloride",-,-,24181641
280,10641.0,1-(5-Chloro-2-methoxyphenyl)-2-(dipentylamino)ethanol;hydrochloride,-,-,24181655
281,10660.0,1-(4-Chloronaphthalen-1-yl)-2-(dipentylamino)ethanol;hydrochloride,-,-,24181664
282,10667.0,"phenothiazin-5-ium (9ci), 7-(dibutylamino)-3-(diethylami...",-,-,24181669
283,10721.0,Cortef fluid,-,-,223253
284,10848.0,ALBB-015765,-,-,223320
285,11051.0,-,-,-,-
286,11216.0,"Indophenol, 2,6-dibromo-, monosodium salt",-,-,-
287,11225.0,klot,-,-,-
288,11232.0,sudan r,-,-,-
289,11235.0,thioflavine,-,-,16953
290,11240.0,basic blue k,-,-,16599
291,11241.0,sudan red,-,-,11980862
292,11420.0,"3-(Dipentylamino)-1-(4-methoxynaphthalen-1-yl)-2,2-dimethylpropan-1-ol",-,-,223647
293,11452.0,ANTINEOPLASTIC-11452,-,-,223660
294,11461.0,Usaf Sn-31,-,-,6967
295,11511.0,NIOSH/GY7277500,-,-,223673
296,11590.0,9AD2B660I3,-,-,20684
297,11624.0,Maybridge3_001738,-,-,223719
298,11663.0,"1-Phenyl-4-propoxy-6-(propylsulfanyl)-1h-pyrazolo[3,4-d]pyrimidine",-,-,223750
299,11667.0,"1H-Pyrazolo[3,4-d]pyrimidine, 4,6-bis(p-bromoanilino)-1-...",-,-,223752
300,11668.0,"N4,N6-bis(3-chlorophenyl)-1-methyl-1H-pyrazolo[3,4-d]pyr...",-,-,223753
301,11713.0,c.i. pigment red 64 (8ci),-,-,80753
302,11773.0,mida,-,-,20441
303,11841.0,TimTec1_005460,-,-,223821
304,11881.0,benzoylleukomethylene blue,-,-,94975
305,11897.0,Phthiocol,-,-,10221
306,11905.0,lapachol,-,-,-
307,11926.0,tardolyt,-,-,-
308,11963.0,2-Benzyl-6-[[2-[(3-benzyl-5-chloro-2-hydroxyphenyl)methylamino]ethylamino]methyl]-4-chlorophenol;hydrochloride,-,-,24181851
309,11969.0,"3,4,6-Trichloro-2-[[2-[(2,3,5-trichloro-6-hydroxyphenyl)methylamino]ethylamino]methyl]phenol",-,-,223883
310,11981.0,"3-Methyl-8-(pentyliminomethyl)-5-propan-2-yl-2-[1,6,7-trihydroxy-3-methyl-8-(pentyliminomethyl)-5-propan-2-ylnaphthalen-2-yl]naphthalene-1,6,7-triol",-,-,223889
311,11991.0,REGID_for_CID_223899,-,-,223899
312,12097.0,Resorufin,-,-,69462
313,12113.0,"1,2-Dimethoxy-4-(2-nitropropenyl)benzene",-,-,-
314,12129.0,7-Hydroxy-8-[[4-[4-[(2-hydroxy-8-sulfonaphthalen-1-yl)diazenyl]phenyl]sulfonylphenyl]diazenyl]naphthalene-1-sulfonic acid,-,-,223984
315,12150.0,"Decanediamide, N,N'-bis(4-amino-2-methyl-6-quinolyl)-, d...",-,-,-
316,12161.0,Crotonosid,-,-,-
317,12174.0,isoflupredone,-,-,-
318,12181.0,3-(6-Hydroxy-3-oxo-3H-xanthen-9-yl)-1-phenyl-2-naphthoic acid,-,-,408250
319,12198.0,Dromostanolone Propionate,FDA approved,Ho,224004
320,12455.0,beacon red,-,-,-
321,12516.0,4-(6-Chloro-2-methoxyacridin-9-ylamino)-2-(pyrrolidin-1-...,-,-,24181914
322,12517.0,"N-Benzyl-1-methyl-7-propan-2-yl-3,4,4a,9,10,10a-hexahydro-2H-phenanthren-1-amine;hydrochloride",-,-,24181915
323,12650.0,ANTINEOPLASTIC-12650,-,-,224279
324,12825.0,NCIMech_000116,-,-,224423
325,12865.0,"Quinine, hydrobromide, hydrate",-,-,11068
326,12969.0,c.i. 37511,-,-,-
327,13002.0,win 1701,-,-,25926
328,13003.0,wln: t c666 bnj eo1 fo1 im1yq1n2&2 mnw &gh 2,-,-,-
329,13006.0,"Ethanol, 2-[(2-[(2-methoxy-9-acridinyl)amino]ethyl)amino...",-,-,24181963
330,13051.0,4-[(6-Chloro-2-methoxyacridin-9-yl)amino]-5-methyl-2-propan-2-ylphenol,-,-,224524
331,13052.0,-,-,-,-
332,13055.0,TCMDC-142279,-,-,459702
333,13119.0,l-trp,-,-,-
334,13128.0,nicota,-,-,-
335,13151.0,J-501875,-,-,5354553
336,13162.0,Cadmium;4-chlorobenzenesulfonic acid,-,-,54603804
337,13204.0,AK-38589,-,-,95001
338,13239.0,NCI-13239,-,-,224604
339,13248.0,-,-,-,-
340,13275.0,"5,6-Dimethoxy-N-(2-piperidin-2-ylethyl)quinolin-8-amine;hydroiodide",-,-,24182013
341,13300.0,-,-,-,-
342,13307.0,"9-Phenanthrenemethanol, 6-bromo-.alpha.-[(diheptylamino)...",-,-,45049470
343,13314.0,-,-,-,-
344,13316.0,(2-(4-chlorophenyl)quinolin-4-yl)(piperidin-2-yl)methanol,-,-,224644
345,13317.0,"N-[(7-Chloro-2-phenylquinolin-4-yl)methyl]-N',N'-diethylpropane-1,3-diamine;sulfuric acid",-,-,54609285
346,13318.0,"N',N'-Diethyl-N-[(2-phenylquinolin-4-yl)methyl]propane-1,3-diamine;sulfuric acid",-,-,54602013
347,13378.0,-,-,-,-
348,13380.0,2-(6-Methoxy-2-methylquinolin-4-ylthio)benzo[d]thiazole,-,-,224687
349,13397.0,Triamcinolone,-,-,31307
350,13477.0,"4-N-(7-Chloro-3-phenylquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine;hydroiodide",-,-,24182056
351,13479.0,"1-N,1-N-Diethyl-4-N-(7-phenoxyquinolin-4-yl)pentane-1,4-diamine;2-hydroxypropane-1,2,3-tricarboxylic acid",-,-,224741
352,13480.0,-,-,-,-
353,13483.0,A821143,-,-,224743
354,13484.0,"1-N,1-N-Diethyl-4-N-(7-methoxy-2-phenylquinolin-4-yl)pentane-1,4-diamine",-,-,498042
355,13502.0,echinomycin,-,-,3197
356,13597.0,-,-,-,-
357,13598.0,7-Chloro-N-[2-[2-(diethylamino)ethylsulfonyl]ethyl]quinolin-4-amine;phosphoric acid,-,-,54603830
358,13616.0,"2-N-Cyclohexyl-1-N-(6-methoxyquinolin-8-yl)butane-1,2-di...",-,-,224810
359,13625.0,"4-[(Z)-2-(4,6-Dimethylquinolin-2-yl)ethenyl]-N,N-diethylaniline",-,-,54605076
360,13628.0,"N-(4-Benzylsulfanylquinolin-8-yl)-N',N'-diethylpropane-1,3-diamine",-,-,224815
361,13699.0,Petcm,-,-,224859
362,13713.0,-,-,-,-
363,13724.0,"N-(7-Chloro-3-methylquinolin-4-yl)-2-(4-chlorophenyl)-N',N'-diethylbutane-1,4-diamine",-,-,224873
364,13801.0,"2-mercapto-o-acetanisidide, carbamate",-,-,224935
365,13831.0,Probes1_000354,-,-,224958
366,13835.0,1-Tetradecylpyridin-1-ium-3-carboxamide;bromide,-,-,24182122
367,13973.0,basic yellow k,-,-,-
368,13977.0,Alizarin Blue S,-,-,-
369,13981.0,5-benzamido-1-aminoanthraquinone,-,-,67011
370,13984.0,SC-33007,-,-,224978
371,13986.0,janus green v,-,-,76123
372,14006.0,-,-,-,-
373,14009.0,"2,4-Dimethoxy-1-[(Z)-2-nitrobut-1-enyl]benzene",-,-,49791635
374,14022.0,Bis(methylthio)maleonitrile,-,-,5929688
375,14034.0,IMKHPTXYFMGMDE-UHFFFAOYSA-N,-,-,225001
376,14040.0,"[5-(4-Methoxybenzoyl)-2,6-dioxa-1,3-diazabicyclo[3.1.0]hex-3-en-4-yl]-(4-methoxyphenyl)methanone",-,-,225006
377,14050.0,arolen,-,-,-
378,14071.0,"Ethanol, 2-[[3-[(6-chloro-2-methoxy-9-acridinyl)amino]pr...",-,-,-
379,14073.0,1-[2-[(2-Methoxyacridin-9-yl)amino]ethylamino]propan-2-ol;hydrochloride,-,-,54609322
380,14079.0,"Acridine, 9-[(4-diethylamino-1-methylbutyl)amino]-2-meth...",-,-,54602016
381,14186.0,Maybridge1_003613,-,-,137805
382,14229.0,Acrichine,FDA approved,Db|AP,-
383,14380.0,"1,3,7-Trimethyl-8-(2-methylpropoxy)purine-2,6-dione",-,-,225223
384,14548.0,Benzylidenanthron,-,-,225328
385,14657.0,"1-[3-[(2,3-Dimethoxy-6-nitroacridin-9-yl)amino]propylamino]-2-methylpropan-2-ol;chloride",-,-,24182209
386,14659.0,"3-[2-[(6-Chloro-2-methoxyacridin-9-yl)amino]ethylamino]propane-1,2-diol;hydrochloride",-,-,24182211
387,14666.0,adenin,-,-,-
388,14711.0,-,-,-,-
389,14741.0,8-[5-(Propan-2-ylamino)pentylamino]quinolin-6-ol;hydrochloride,-,-,54605112
390,14864.0,ceprim,-,-,-
391,14973.0,N-(p-Carboxyphenyl)glycine,-,-,225483
392,14974.0,Glaucarubol,-,-,225484
393,14975.0,glarubin,-,-,-
394,14977.0,9-Hydrazinoacridinhydrochlorid,-,-,54609366
395,15013.0,ANQI,-,-,-
396,15078.0,"Malononitrile, (.beta.-pentylcinnamylidene)-",-,-,6271803
397,15193.0,Ba 2758,-,-,-
398,15200.0,gallium nitrate,-,-,-
399,15309.0,Phlorone,-,-,-
400,15372.0,p-oxinozon,-,-,-
401,15609.0,"Gluconic acid, cyclic antimonate(III), sodium salt",-,-,24182331
402,15623.0,-,-,-,-
403,15628.0,rozex,-,-,5280954
404,15785.0,-,-,-,-
405,15791.0,"Thioxanthen-9-one, 4-methyl-1-(2-piperidinoethylamino)-,...",-,-,21144135
406,15795.0,6-Chloro-1-[2-[ethyl-(2-hydroxy-2-methylpropyl)amino]ethylamino]-4-methylthioxanthen-9-one;hydrochloride,-,-,24182355
407,15812.0,"N,N-Dihexylquinoline-4-carboximidamide",-,-,408791
408,15813.0,(Z)-5-[Benzyl(methyl)amino]-2-(4-chlorophenyl)-1-phenylpent-1-en-3-one,-,-,5897951
409,15830.0,DCVC,-,-,-
410,15886.0,Q2806562,-,-,225968
411,15975.0,light orange r,-,-,18981
412,16034.0,CBDivE_011978,-,-,226033
413,16116.0,Trimethyl-[2-[pyridin-2-yl(thiophen-2-ylmethyl)amino]ethyl]azanium;iodide,-,-,5351669
414,16165.0,Azure C (VAN),-,-,135421845
415,16166.0,Azure B bromide,-,-,13797451
416,16219.0,OAM5T44TSB,-,-,226107
417,16222.0,"Phenazinium (8CI), 3-(diethylamino)-7-[(2-hydroxy-1-naph...",-,-,135421850
418,16239.0,p-anisylchloromercury,-,-,408835
419,16258.0,2-Nitro-1-phenylpropan-1-ol,-,-,226118
420,16520.0,"N,N-Diethyl-4-[(E)-2-(4-methylquinolin-2-yl)ethenyl]aniline",-,-,5912102
421,16685.0,-,-,-,-
